SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,RET,PctChange,OpenPrice,trigger_price,price,stop_loss,qty
COALINDIA,EQ,282.8,288.0,275.8,283.1,284.4,279.6,4990180,1399199906.35,2018-09-11,59416,INE522F01014,0.012517882689556448,0.52,283.0,282.57550000000003,282.5255,291.0,14.0
M&M,EQ,943.0,961.0,936.3,943.15,947.0,937.35,3909701,3713736740.1,2018-09-11,88297,INE101A01026,0.006187656691737375,0.33,941.2,939.7882000000001,939.7382000000001,967.95,4.0
INFY,EQ,735.9,744.75,732.0,734.3,733.7,730.85,6963561,5143145755.5,2018-09-11,137146,INE009A01021,0.004720530888691066,-0.13,741.9,740.78715,740.73715,762.95,5.0
ASIANPAINT,EQ,1295.0,1313.3,1286.7,1297.85,1295.5,1293.1,1676544,2184856922.15,2018-09-11,52951,INE021A01026,0.0036733431289150964,0.6,1298.8,1296.8518,1296.8018,1335.7,3.0
NTPC,EQ,169.05,171.75,168.75,169.75,170.1,169.2,8091175,1376813726.15,2018-09-11,47967,INE733E01010,0.003250591016548565,0.24,170.4,170.14440000000002,170.0944,175.20000000000002,24.0
